Question,Cypher Query,Result
Which company produces consumer electronics according to the document?,"MATCH (company:Entity)-[r:Produces]->(product:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP')
  AND product.type = 'PRODUCT'
  AND product.name CONTAINS 'consumer electronics'
RETURN company.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: AAPL
What products is Apple Inc. described as producing?,"MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: AAPL
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software from sourceURL: AAPL
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: AAPL"
What is the stock ticker associated with Apple Inc.?,"MATCH (apple:Entity {name: 'Apple Inc.'})-[r]-(other:Entity)
WHERE r.ticker IS NOT NULL
RETURN DISTINCT r.ticker AS Ticker,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: AAPL
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software from sourceURL: AAPL
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: AAPL
Apple Inc. (AAPL) is a multinational technology company from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus
Blue Chip Stocks To Buy [Or Avoid] Today McDonald’s Corporation (NYSE: MCD) Apple Inc. (NASDAQ: AAPL) from sourceURL: AAPL
mainly of tech major Apple Inc. (AAPL). from sourceURL: https://www.nasdaq.com/articles/cma-wins-appeal-from-uk-high-court-in-apple-case
Apple Inc. announced it will be the first and largest customer of Amkor Technology, Inc.'s new $2 billion advanced silicon manufacturing and packaging facility being developed in Peoria, Arizona. from sourceURL: AAPL
Apple Inc. (AAPL) and Paramount Global are in talks to bundle Paramount+ and Apple TV+ together from sourceURL: https://www.nasdaq.com/articles/wsj%3A-apple-in-talks-to-bundle-paramount-with-apple-tv
Apple silicon produced at the nearby Taiwan Semiconductor Manufacturing Co Ltd. or TSMC fab, where Apple is also the largest customer. from sourceURL: AAPL
Apple Inc. announced it will be the first and largest customer of Amkor Technology, Inc.'s new $2 billion advanced silicon manufacturing and packaging facility from sourceURL: https://www.nasdaq.com/articles/apple-to-be-first-and-largest-customer-of-amkors-%242-bln-chip-packaging-plant
Apple Inc. (NASDAQ: AAPL) from sourceURL: AAPL
2 Dow 30 Stocks For Your December 2023 Watchlist Apple (AAPL Stock) from sourceURL: AAPL
Apple Inc. (AAPL) is a multinational technology company from sourceURL: AAPL"
Which geographic region has Apple Inc. invested in according to the news?,"MATCH (org:Entity {name: 'Apple Inc.'})-[r:Invests_In]->(gpe:Entity)
WHERE org.type = 'ORG' AND gpe.type = 'GPE'
RETURN org.name AS Company,
       gpe.name AS GeographicRegion,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",No results found
Which financial metric reached an all-time high for Apple?,"MATCH (apple:Entity)-[r:Increases]->(metric:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND metric.type = 'FIN_METRIC'
  AND (r.source_text CONTAINS 'all-time high' OR r.source_text CONTAINS 'record high' OR r.source_text CONTAINS 'record level')
RETURN apple.name AS Company,
       metric.name AS FinancialMetric,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",its services unit's revenue set an all-time high from sourceURL: https://www.nasdaq.com/articles/2-tech-dividend-stocks-to-buy-and-hold-forever
Which regulatory body was involved in a legal case related to Apple?,"MATCH (apple:Entity)-[r1]-(litigation:Entity)-[r2]-(regulator:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND litigation.type = 'LITIGATION'
  AND regulator.type = 'ORG_REG'
  AND type(r1) IN ['Involved_In', 'Faces', 'Related_To', 'Subject_To']
  AND type(r2) IN ['Involved_In', 'Related_To', 'Regulates']
RETURN apple.name AS Company,
       type(r1) AS RelationshipToLitigation,
       litigation.name AS LegalCase,
       type(r2) AS RelationshipToRegulator,
       regulator.name AS RegulatoryBody,
       r2.date AS Date,
       r2.source_url AS SourceURL,
       r2.source_text AS Evidence
ORDER BY r2.date DESC",No results found
What legal action was Apple involved in?,"MATCH (apple:Entity)-[r:Involved_In]->(litigation:Entity)
WHERE apple.name CONTAINS 'Apple' AND litigation.type = 'LITIGATION'
RETURN apple.name AS Company,
       litigation.name AS LegalAction,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC","The lawfulness of that decision was challenged by Apple by appealing to the CAT from sourceURL: https://www.nasdaq.com/articles/cma-wins-appeal-from-uk-high-court-in-apple-case
The lawfulness of that decision was challenged by Apple from sourceURL: AAPL"
Which company benefits from Safari-related revenue increases?,"MATCH (company:Entity)-[:Produces]->(product:Entity {name: 'Safari', type: 'PRODUCT'})-[r:Increases]->(metric:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP') AND metric.type = 'FIN_METRIC'
RETURN company.name AS Company, 
       product.name AS Product, 
       metric.name AS IncreasedMetric,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",No results found
Which company is compared competitively with Apple in the smart home market?,"MATCH (apple:Entity)-[r]-(competitor:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND (competitor.type = 'COMP' OR competitor.type = 'ORG')
  AND type(r) IN ['COMPETES_WITH', 'Related_To']
  AND toLower(r.source_text) CONTAINS 'smart home'
RETURN apple.name AS Company1,
       competitor.name AS Company2,
       type(r) AS RelationshipType,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Alphabet to compete well with some notable industry players like Amazon AMZN and Apple AAPL, which are also making concerted efforts to gain a solid footing in the smart home market space. from sourceURL: https://www.nasdaq.com/articles/alphabet-googl-bolsters-nest-hub-series-with-fuchsia-14"
Which companies are subject to European Union regulations?,"MATCH (company:Entity)-[r:Subject_To]->(regulation:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP')
  AND (regulation.name CONTAINS 'European Union' OR regulation.name CONTAINS 'EU')
  AND (regulation.type = 'ORG_GOV' OR regulation.type = 'ORG_REG' OR regulation.type = 'REGULATORY_REQUIREMENT')
RETURN company.name AS Company,
       regulation.name AS RegulationEntity,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",suspend its designation as a gatekeeper under onerous new EU tech rules from sourceURL: https://www.nasdaq.com/articles/tiktok-asks-eu-court-to-suspend-eu-gatekeeper-label-until-its-ruling
