question_id,category,difficulty,question,answer_type,expected_answer,notes
SEV_01,SingleEntityValidation,Easy,Does Apple Inc. exist in the knowledge graph?,boolean,true,Entity Apple Inc. appears in results
SEV_02,SingleEntityValidation,Easy,Is AAPL represented in the knowledge graph?,boolean,true,AAPL explicitly referenced
SEV_03,SingleEntityValidation,Easy,Does the knowledge graph contain any product entities produced by Apple Inc.?,boolean,true,Produces relationship exists
SEV_04,SingleEntityValidation,Easy,Is there any stock-related metric associated with AAPL?,boolean,true,Increases relation exists
SEV_05,SingleEntityValidation,Medium,Is Alphabet present as an entity in the knowledge graph?,boolean,true,Alphabet appears in competitor query
SEV_06,SingleEntityValidation,Medium,Are there any events linked to Apple Inc.?,boolean,false,Explicitly returned no results
RV_01,RelationshipValidation,Easy,Is Apple Inc. connected to products via a Produces relationship?,boolean,true,Direct Produces relation extracted
RV_02,RelationshipValidation,Easy,Is AAPL connected to a percentage increase value?,boolean,true,Increases relationship extracted
RV_03,RelationshipValidation,Medium,Is the recorded stock increase for AAPL equal to 2.6%?,scalar,2.6%,Exact value extracted
RV_04,RelationshipValidation,Medium,Is Apple Inc. related to Alphabet as a competitor or related entity?,boolean,true,Related_To relation extracted
RV_05,RelationshipValidation,Medium,Are there multiple competitors linked to Apple Inc.?,boolean,false,Only Alphabet observed
RV_06,RelationshipValidation,Hard,Are there any relationships between Apple Inc. and event entities?,boolean,false,No event relations found
MRV_01,MultiRelationshipValidation,Medium,Which entities are related to Apple Inc. as competitors?,set,["Alphabet"],Only Alphabet extracted
MRV_02,MultiRelationshipValidation,Medium,Which entities have a recorded stock increase?,set,["AAPL"],Only AAPL has increase metric
MRV_03,MultiRelationshipValidation,Medium,Which entities both produce products and have stock increase metrics?,set,["Apple Inc."],Intersection of Produces and Increases
MRV_04,MultiRelationshipValidation,Hard,Which entities are connected to Apple Inc. via both product and event relationships?,set,[],No event relationships exist
MRV_05,MultiRelationshipValidation,Hard,Which entities have both competitors and stock increase metrics?,set,["Apple Inc."],Apple has competitor and increase
MRV_06,MultiRelationshipValidation,Hard,Which competitors of Apple Inc. also have stock increase metrics?,set,[],Alphabet has no increase metric
MRV_07,MultiRelationshipValidation,Hard,Which entities are connected to Apple Inc. by more than one relationship type?,set,["Alphabet"],Related_To + contextual relation
MRV_08,MultiRelationshipValidation,Hard,Which entities have exactly one relationship type in the graph?,set,[],Insufficient extraction to enumerate
MRV_09,MultiRelationshipValidation,Hard,Which entities appear only in product-related relationships?,set,[],Product entities unspecified
MRV_10,MultiRelationshipValidation,Hard,Which entities have no outgoing relationships?,set,[],Not determinable from extracted data
