questions,expected
Which company produces consumer electronics according to the document?,Apple Inc.
What products is Apple Inc. described as producing?,Consumer electronics
What products is Apple Inc. described as producing?,Consumer electronics
What products is Apple Inc. described as producing?,Consumer electronics
What is the stock ticker associated with Apple Inc.?,AAPL
Which geographic region has Apple Inc. invested in according to the news?,United States
Which financial metric reached an all-time high for Apple?,Services unit revenue
Which regulatory body was involved in a legal case related to Apple?,UK Competition Appeal Tribunal
What legal action was Apple involved in?,An appeal case
Which company benefits from Safari-related revenue increases?,Apple Inc.
Which company is compared competitively with Apple in the smart home market?,Alphabet
Which companies are subject to European Union regulations?,Apple Inc.
Which government body regulates major technology gatekeepers?,European Union
Which companies suspended advertising on X according to the document?,Apple Inc.
Which company is described as a cheaper stock alternative to Apple?,Nvidia
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index reached new highs in 2023?,S&P 500
Which market index includes Apple as a major component?,Nasdaq
What major market event occurred in late 2023?,Equity market rally
What major market event occurred in late 2023?,Equity market rally
What major market event occurred in late 2023?,Equity market rally
What major market event occurred in late 2023?,Equity market rally
What major market event occurred in late 2023?,Equity market rally
What major market event occurred in late 2023?,Equity market rally
What major market event occurred in late 2023?,Equity market rally
What major market event occurred in late 2023?,Equity market rally
Which companies are related to content or streaming services?,Apple Inc.
Which company is Apple discussing a streaming bundle partnership with?,Paramount Global
What relationship exists between Apple Inc. and Paramount Global?,Partners_With
What relationship exists between Apple Inc. and Paramount Global?,Partners_With
Which sector do Apple and Alphabet operate in?,Technology
Which companies are members of the Magnificent Seven?,Apple Inc.
Which financial metrics are associated with Alphabet?,Share price
Which macroeconomic condition influenced markets in late 2023?,Easing inflation
Which financial institution provided market commentary?,BofA Global Research
What major investment announcement did Apple make?,Investment in Amkor packaging plant
Which companies are subject to the Digital Markets Act?,Apple Inc.
What type of entity is the European Union in the graph?,Government body
Which entity represents Apple in the knowledge graph?,Apple Inc.
Which entity represents Apple in the knowledge graph?,Apple Inc.
Which entity represents Apple in the knowledge graph?,Apple Inc.
Which entity represents Apple in the knowledge graph?,Apple Inc.
Which entity represents Apple in the knowledge graph?,Apple Inc.
What type of event is the equity market rally?,EVENT
"Which sector do Apple, Alphabet, and Nvidia all operate in?",Technology
