question,majority_label
Which company produces consumer electronics according to the document?,1
What products is Apple Inc. described as producing?,1
What is the stock ticker associated with Apple Inc.?,1
Which geographic region has Apple Inc. invested in according to the news?,0
Which financial metric reached an all-time high for Apple?,1
Which regulatory body was involved in a legal case related to Apple?,0
What legal action was Apple involved in?,1
Which company benefits from Safari-related revenue increases?,0
Which company is compared competitively with Apple in the smart home market?,1
Which companies are subject to European Union regulations?,0
Which government body regulates major technology gatekeepers?,0
Which companies suspended advertising on X according to the document?,0
Which company is described as a cheaper stock alternative to Apple?,0
Which market index reached new highs in 2023?,1
Which market index includes Apple as a major component?,1
What major market event occurred in late 2023?,1
Which companies are related to content or streaming services?,0
Which company is Apple discussing a streaming bundle partnership with?,0
What relationship exists between Apple Inc. and Paramount Global?,1
Which sector do Apple and Alphabet operate in?,0
Which companies are members of the Magnificent Seven?,0
Which financial metrics are associated with Alphabet?,0
Which macroeconomic condition influenced markets in late 2023?,1
Which financial institution provided market commentary?,0
What major investment announcement did Apple make?,1
Which companies are subject to the Digital Markets Act?,0
What type of entity is the European Union in the graph?,0
Which entity represents Apple in the knowledge graph?,1
What type of event is the equity market rally?,0
"Which sector do Apple, Alphabet, and Nvidia all operate in?",0
