"questions","Cypher Query","result","expected"
"Which company produces consumer electronics according to the document?","MATCH (company:Entity)-[r:Produces]->(product:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP')
  AND product.type = 'PRODUCT'
  AND product.name CONTAINS 'consumer electronics'
RETURN company.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: AAPL","Apple Inc."
"What products is Apple Inc. described as producing?","MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: AAPL","Consumer electronics"
"What products is Apple Inc. described as producing?","MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: AAPL","Consumer electronics"
"What products is Apple Inc. described as producing?","MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: AAPL","Consumer electronics"
"What products is Apple Inc. described as producing?","MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","Apple Inc. (AAPL) and Paramount Global are in talks to bundle Paramount+ and Apple TV+ together from sourceURL: AAPL","Consumer electronics"
"What products is Apple Inc. described as producing?","MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","mainly of tech major Apple Inc. (AAPL). from sourceURL: AAPL","Consumer electronics"
"What products is Apple Inc. described as producing?","MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","mainly of tech major Apple Inc. (AAPL). from sourceURL: AAPL","Consumer electronics"
"What is the stock ticker associated with Apple Inc.?","MATCH (apple:Entity {name: 'Apple Inc.'})-[r]-(other:Entity)
WHERE r.ticker IS NOT NULL
RETURN DISTINCT r.ticker AS Ticker,
       head(collect(r.source_url)) AS SourceURL,
       head(collect(r.source_text)) AS Evidence","Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: AAPL","AAPL"
"Which geographic region has Apple Inc. invested in according to the news?","MATCH (apple:Entity {name: 'Apple Inc.'})-[r:Invests_In]->(region:Entity)
WHERE region.type = 'GPE'
RETURN apple.name AS Company,
       region.name AS GeographicRegion,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","No results found","United States"
"Which financial metric reached an all-time high for Apple?","MATCH (org:Entity)-[r:Increases]->(metric:Entity)
WHERE org.name CONTAINS 'Apple'
  AND metric.type = 'FIN_METRIC'
  AND (r.source_text CONTAINS 'all-time high' OR r.source_text CONTAINS 'record high' OR r.source_text CONTAINS 'highest ever')
RETURN org.name AS Company,
       metric.name AS FinancialMetric,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC","its services unit's revenue set an all-time high from sourceURL: AAPL","Services unit revenue"
"Which regulatory body was involved in a legal case related to Apple?","MATCH (apple:Entity)-[r1]-(litigation:Entity)-[r2]-(reg_body:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND litigation.type = 'LITIGATION'
  AND reg_body.type = 'ORG_REG'
  AND type(r1) IN ['Involved_In', 'Faces', 'Related_To']
  AND type(r2) IN ['Involved_In', 'Regulates', 'Related_To']
RETURN apple.name AS Company,
       litigation.name AS LegalCase,
       reg_body.name AS RegulatoryBody,
       r2.date AS Date,
       r2.source_url AS SourceURL,
       r2.source_text AS Evidence
ORDER BY r2.date DESC","No results found","UK Competition Appeal Tribunal"
"What legal action was Apple involved in?","MATCH (org:Entity)-[r:Involved_In]->(litigation:Entity)
WHERE org.name CONTAINS 'Apple' AND litigation.type = 'LITIGATION'
RETURN org.name AS Company,
       litigation.name AS LegalAction,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC","The lawfulness of that decision was challenged by Apple from sourceURL: AAPL","An appeal case"
"What legal action was Apple involved in?","MATCH (org:Entity)-[r:Involved_In]->(litigation:Entity)
WHERE org.name CONTAINS 'Apple' AND litigation.type = 'LITIGATION'
RETURN org.name AS Company,
       litigation.name AS LegalAction,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC","by appealing to the CAT from sourceURL: AAPL","An appeal case"
"Which company benefits from Safari-related revenue increases?","MATCH (company:Entity)-[:Produces]->(product:Entity {name: 'Safari', type: 'PRODUCT'})-[r:Increases]->(metric:Entity)
WHERE company.type IN ['ORG', 'COMP'] AND metric.type = 'FIN_METRIC'
RETURN company.name AS Company,
       product.name AS Product,
       metric.name AS IncreasedMetric,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","No results found","Apple Inc."
"Which company is compared competitively with Apple in the smart home market?","MATCH (apple:Entity)-[r]-(competitor:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND (competitor.type = 'COMP' OR competitor.type = 'ORG')
  AND type(r) IN ['COMPETES_WITH', 'Related_To']
  AND r.source_text CONTAINS 'smart home'
RETURN apple.name AS Company1,
       type(r) AS Relationship,
       competitor.name AS Company2,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","No results found","Alphabet"
"Which companies are subject to European Union regulations?","MATCH (company:Entity)-[r:Subject_To]->(regulation:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP')
  AND (regulation.name CONTAINS 'European Union' OR regulation.name CONTAINS 'EU')
  AND (regulation.type = 'ORG_GOV' OR regulation.type = 'ORG_REG')
RETURN company.name AS Company, 
       regulation.name AS RegulationBody,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","No results found","Apple Inc."
"Which government body regulates major technology gatekeepers?","MATCH (gov_body:Entity)-[r:Regulates]->(regulated_entity:Entity)
WHERE gov_body.type = 'ORG_GOV'
  AND (regulated_entity.type = 'ORG' OR regulated_entity.type = 'COMP')
RETURN gov_body.name AS GovernmentBody,
       regulated_entity.name AS RegulatedEntity,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence","No results found","European Union"
"Which companies suspended advertising on X according to the document?","MATCH (company:Entity)-[r:Related_To]->(x:Entity)
WHERE x.name = 'X' AND (company.type = 'ORG' OR company.type = 'COMP')
  AND r.source_text CONTAINS 'suspended advertising on X'
RETURN company.name AS Company, 
       r.date AS Date,
       r.source_url AS SourceURL, 
       r.source_text AS Evidence
ORDER BY r.date DESC","No results found","Apple Inc."
"Which company is described as a cheaper stock alternative to Apple?","MATCH (apple:Entity)-[r:Related_To]->(alternative:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND (alternative.type = 'COMP' OR alternative.type = 'ORG')
  AND toLower(r.source_text) CONTAINS 'cheaper'
  AND toLower(r.source_text) CONTAINS 'alternative'
  AND toLower(r.source_text) CONTAINS 'apple'
RETURN apple.name AS Company,
       alternative.name AS CheaperAlternative,
       type(r) AS RelationshipType,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC","No results found","Nvidia"
"Which market index reached new highs in 2023?","MATCH (market:Entity {type: 'FIN_MARKET'})-[r:Increases]->(metric:Entity)
WHERE r.date CONTAINS '2023'
  AND (r.source_text CONTAINS 'new highs' OR r.source_text CONTAINS 'record high' OR r.source_text CONTAINS 'all-time high')
RETURN market.name AS MarketIndex,
       metric.name AS MetricIncreased,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC","No results found","S&P 500"
