Question,Cypher Query,Expected,Result,human_correct,Reasoning
Which company produces consumer electronics according to the document?,"MATCH (company:Entity)-[r:Produces]->(product:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP')
  AND product.type = 'PRODUCT'
  AND product.name CONTAINS 'consumer electronics'
RETURN company.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Apple Inct,Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00,1,
What products is Apple Inc. described as producing?,"MATCH (org:Entity {name: 'Apple Inc.'})-[r:Produces]->(product:Entity)
WHERE product.type = 'PRODUCT'
RETURN org.name AS Company,
       product.name AS Product,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Consumer Electronics,"Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00",1,
What is the stock ticker associated with Apple Inc.?,"MATCH (apple:Entity {name: 'Apple Inc.'})-[r]-(other:Entity)
WHERE r.ticker IS NOT NULL
RETURN apple.name AS Company,
       r.ticker AS Ticker,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
LIMIT 1",AAPL,Company: Apple Inc. | Ticker: AAPL | SourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus | Evidence: Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics,1,
Which geographic region has Apple Inc. invested in according to the news?,"MATCH (org:Entity {name: 'Apple Inc.'})-[r:Invests_In]->(gpe:Entity)
WHERE gpe.type = 'GPE'
RETURN org.name AS Company,
       gpe.name AS GeographicRegion,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",United States,No results found,0,
Which financial metric reached an all-time high for Apple?,"MATCH (org:Entity)-[r:Increases]->(metric:Entity)
WHERE (org.name CONTAINS 'Apple' OR org.name = 'AAPL')
  AND metric.type = 'FIN_METRIC'
  AND (r.source_text CONTAINS 'all-time high' OR r.source_text CONTAINS 'record high' OR r.source_text CONTAINS 'highest ever')
RETURN org.name AS Company,
       metric.name AS FinancialMetric,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Service unit revenue,its services unit's revenue set an all-time high from sourceURL: https://www.nasdaq.com/articles/2-tech-dividend-stocks-to-buy-and-hold-forever on Date: 2023-12-01 00:00:00+00:00,1,
Which regulatory body was involved in a legal case related to Apple?,"MATCH (apple:Entity)-[r1]-(litigation:Entity)-[r2]-(reg_body:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND litigation.type = 'LITIGATION'
  AND reg_body.type = 'ORG_REG'
  AND type(r1) IN ['Involved_In', 'Related_To', 'Faces']
  AND type(r2) IN ['Involved_In', 'Related_To']
RETURN apple.name AS Company,
       litigation.name AS LegalCase,
       reg_body.name AS RegulatoryBody,
       r2.date AS Date,
       r2.source_url AS SourceURL,
       r2.source_text AS Evidence
ORDER BY r2.date DESC",UK Competition Appeal Tribunal,No results found,0,
What legal action was Apple involved in?,"MATCH (apple:Entity)-[r:Involved_In|Related_To]->(litigation:Entity)
WHERE apple.name CONTAINS 'Apple' AND litigation.type = 'LITIGATION'
RETURN apple.name AS Company,
       type(r) AS RelationshipType,
       litigation.name AS LegalAction,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",An appeal case,The lawfulness of that decision was challenged by Apple by appealing to the CAT from sourceURL: https://www.nasdaq.com/articles/cma-wins-appeal-from-uk-high-court-in-apple-case on Date: 2023-12-01 00:00:00+00:00,1,
Which company benefits from Safari-related revenue increases?,"MATCH (company:Entity)-[r1:Produces]->(product:Entity {name: 'Safari'}) WHERE company.type IN ['ORG', 'COMP'] AND product.type = 'PRODUCT' MATCH (product)-[r2:Increases]->(metric:Entity) WHERE metric.type = 'FIN_METRIC' AND (toLower(metric.name) CONTAINS 'revenue' OR toLower(metric.name) CONTAINS 'sales' OR toLower(metric.name) CONTAINS 'earnings') RETURN company.name AS CompanyBenefiting, product.name AS RelatedProduct, metric.name AS IncreasedMetric, r2.date AS Date, r2.source_url AS SourceURL, r2.source_text AS Evidence ORDER BY r2.date DESC",Apple Inct,No results found,0,
Which company is compared competitively with Apple in the smart home market?,"MATCH (apple:Entity)-[r:Related_To]-(competitor:Entity)
WHERE apple.name CONTAINS 'Apple'
  AND (competitor.type = 'ORG' OR competitor.type = 'COMP')
  AND r.source_text CONTAINS 'smart home'
RETURN apple.name AS Company,
       type(r) AS RelationshipType,
       competitor.name AS Competitor,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Alphabet,"Alphabet to compete well with some notable industry players like Amazon AMZN and Apple AAPL, which are also making concerted efforts to gain a solid footing in the smart home market space. from sourceURL: https://www.nasdaq.com/articles/alphabet-googl-bolsters-nest-hub-series-with-fuchsia-14 on Date: 2023-12-01 00:00:00+00:00",1,
Which companies are subject to European Union regulations?,"MATCH (company:Entity)-[r:Subject_To]->(regulator:Entity)
WHERE (company.type = 'ORG' OR company.type = 'COMP')
  AND regulator.name CONTAINS 'European Union'
  AND (regulator.type = 'ORG_GOV' OR regulator.type = 'ORG_REG')
RETURN company.name AS Company, 
       regulator.name AS Regulator, 
       r.date AS Date, 
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Apple Inc.,No results found,0,
Which government body regulates major technology gatekeepers?,"MATCH (gov:Entity {type: 'ORG_GOV'})-[r:Regulates]->(tech_company:Entity)
WHERE tech_company.type IN ['ORG', 'COMP']
RETURN gov.name AS GovernmentBody,
       tech_company.name AS RegulatedEntity,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",European Union,No results found,0,
Which companies suspended advertising on X according to the document?,"MATCH (company:Entity)-[r:Related_To]->(x:Entity)
WHERE x.name = 'X'
  AND (company.type = 'ORG' OR company.type = 'COMP')
  AND (toLower(r.source_text) CONTAINS 'suspended advertising' OR
       toLower(r.source_text) CONTAINS 'pulled ads' OR
       toLower(r.source_text) CONTAINS 'paused advertising' OR
       toLower(r.source_text) CONTAINS 'stopped advertising')
RETURN company.name AS Company,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence
ORDER BY r.date DESC",Apple Inc.,No results found,0,
Which company is described as a cheaper stock alternative to Apple?,"MATCH (apple:Entity)-[r:Related_To]-(alternative:Entity)
WHERE apple.name CONTAINS 'Apple' 
  AND alternative.type IN ['ORG', 'COMP']
  AND r.source_text CONTAINS 'cheaper stock alternative'
RETURN apple.name AS OriginalCompany,
       alternative.name AS AlternativeCompany,
       r.date AS Date,
       r.source_url AS SourceURL,
       r.source_text AS Evidence",Nvidia,No results found,0,
