triplet_id,entity,entity_type,relationship,target,target_type,date,ticker,source_url,source_text
1,AAPL,ORG,Increases,Share Price,FIN_METRIC,2023-12-01,AAPL,,shares of AAPL stock have gained by 9.29%.
2,Apple Inc.,ORG,Produces,consumer electronics,PRODUCT,2023-12-01,AAPL,,"Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services."
3,Apple Inc.,ORG,Produces,software,PRODUCT,2023-12-01,AAPL,,"Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services."
4,Apple Inc.,ORG,Produces,online services,PRODUCT,2023-12-01,AAPL,,"Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services."
5,McDonald’s Corporation,COMP,Related_To,Blue Chip Stocks,CONCEPT,2023-12-01,AAPL,,Blue Chip Stocks To Buy [Or Avoid] Today McDonald’s Corporation (NYSE: MCD)
6,Paramount Global,COMP,Increases,Share Price,FIN_METRIC,2023-12-01,AAPL,,Paramount GlobalPARA.O climbed 7.6%
7,Paramount Global,COMP,Partners_With,Apple,ORG,2023-12-01,AAPL,,Paramount GlobalPARA.O climbed 7.6% on a report the media company and Apple AAPL.O have discussed bundling their streaming services at a discount.
8,Apple,ORG,Partners_With,Paramount Global,COMP,2023-12-01,AAPL,,Paramount GlobalPARA.O climbed 7.6% on a report the media company and Apple AAPL.O have discussed bundling their streaming services at a discount.
9,Apple,ORG,Introduces,streaming services,PRODUCT,2023-12-01,AAPL,,Apple AAPL.O have discussed bundling their streaming services at a discount.
10,Federal Reserve,ORG_REG,Announces,progress in lowering inflation,COMMENTARY,2023-12-01,AAPL,,Federal Reserve Chair Jerome Powell acknowledged progress in lowering inflation
11,Jerome Powell,PERSON,Member_Of,Federal Reserve,ORG_REG,2023-12-01,AAPL,,Federal Reserve Chair Jerome Powell
12,Federal Reserve,ORG_REG,Guides_On,interest rate hiking campaign,MACRO_CONDITION,2023-12-01,AAPL,,the central bank was done with its interest rate hiking campaign.
13,personal consumption expenditure index,ECON_IND,Discloses,easing inflation,ECON_IND,2023-12-01,AAPL,,personal consumption expenditure index signalled easing inflation
14,central bank,ORG_REG,Guides_On,end its interest rate hikes,MACRO_CONDITION,2023-12-01,AAPL,,the central bank would now end its interest rate hikes
15,central bank,ORG_REG,Guides_On,start lowering them soon,MACRO_CONDITION,2023-12-01,AAPL,,"could start lowering them soon, propelling a rally in equities."
16,equities,FIN_INST,Stock_Rise_Due_To,central bank lowering interest rates,MACRO_CONDITION,2023-12-01,AAPL,,"could start lowering them soon, propelling a rally in equities."
17,S&P 500,FIN_MARKET,Increases,9%,FIN_METRIC,2023-12-01,AAPL,,The S&P 500 gained nearly 9% gain in November
18,S&P 500,FIN_MARKET,Increases,77% of the time,FIN_METRIC,2023-12-01,AAPL,,with the index rising 77% of the time
19,stocks,FIN_INST,Positively_Impacts,S&P 500,FIN_MARKET,2023-12-01,AAPL,,stocks that were down 10% or more between January and the end of October have beaten the S&P 500 by an average of 1.9% over the next three months
20,BofA Global Research,COMP,Discloses,stocks performance data,COMMENTARY,2023-12-01,AAPL,,according to BofA Global Research.
21,Apple,ORG,Related_To,Tech Dividend Stocks,FIN_INST,2023-12-01,AAPL,,Tech giants Apple (NASDAQ: AAPL) and Microsoft (NASDAQ: MSFT) have a lot in common.
22,Apple,ORG,Partners_With,Microsoft,COMP,2023-12-01,AAPL,,Tech giants Apple (NASDAQ: AAPL) and Microsoft (NASDAQ: MSFT) have a lot in common.
23,Apple,ORG,Increases,iPhone sales,FIN_METRIC,2023-12-01,AAPL,,the company had its best fiscal Q4 ever for iPhone sales
24,Apple,ORG,Increases,services unit's revenue,FIN_METRIC,2023-12-01,AAPL,,its services unit's revenue set an all-time high
25,Apple,ORG,Increases,stock gains of between about 47% and 220%,FIN_METRIC,2023-12-01,AAPL,,"Apple AAPL.O, Microsoft MSFT.O, Alphabet GOOGL.O, Amazon AMZN.O, Nvidia NVDA.O, Meta Platforms META.O and Tesla TSLA.O -- have seen stock gains of between about 47% and 220% so far this year."
26,Microsoft,COMP,Increases,stock gains of between about 47% and 220%,FIN_METRIC,2023-12-01,AAPL,,"Apple AAPL.O, Microsoft MSFT.O, Alphabet GOOGL.O, Amazon AMZN.O, Nvidia NVDA.O, Meta Platforms META.O and Tesla TSLA.O -- have seen stock gains of between about 47% and 220% so far this year."
27,Alphabet,COMP,Increases,stock gains of between about 47% and 220%,FIN_METRIC,2023-12-01,AAPL,,"Apple AAPL.O, Microsoft MSFT.O, Alphabet GOOGL.O, Amazon AMZN.O, Nvidia NVDA.O, Meta Platforms META.O and Tesla TSLA.O -- have seen stock gains of between about 47% and 220% so far this year."
28,Amazon,COMP,Increases,stock gains of between about 47% and 220%,FIN_METRIC,2023-12-01,AAPL,,"Apple AAPL.O, Microsoft MSFT.O, Alphabet GOOGL.O, Amazon AMZN.O, Nvidia NVDA.O, Meta Platforms META.O and Tesla TSLA.O -- have seen stock gains of between about 47% and 220% so far this year."
29,Nvidia,COMP,Increases,stock gains of between about 47% and 220%,FIN_METRIC,2023-12-01,AAPL,,"Apple AAPL.O, Microsoft MSFT.O, Alphabet GOOGL.O, Amazon AMZN.O, Nvidia NVDA.O, Meta Platforms META.O and Tesla TSLA.O -- have seen stock gains of between about 47% and 220% so far this year."
