questions,expected,cypher,output,correctness_score,correctness_reasoning,average_score
Which company produces consumer electronics according to the document?,Apple Inc.,MATCH (c:Entity {type:'ORG'})-[:RELATIONSHIP {type:'Produces'}]->(p:Entity {type:'PRODUCT'}) WHERE p.name CONTAINS 'consumer electronics' RETURN c.name,Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00,1,"The provided answer correctly states that Apple Inc. produces consumer electronics, matching the reference answer.",1.0
What products is Apple Inc. described as producing?,Consumer electronics,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Produces'}]->(p:Entity) RETURN p.name,"Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00",1,"The provided answer includes the phrase ""consumer electronics"", which matches the reference answer. The additional details about software and online services do not invalidate the correctness of the answer.",1.0
What is the stock ticker associated with Apple Inc.?,AAPL,MATCH (c:Entity {name:'Apple Inc.'}) RETURN c.ticker,Company: Apple Inc. | Ticker: AAPL | SourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus | Evidence: Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics,1,"Provided answer correctly states that Washington left office on March 4, 1797.",1.0
Which geographic region has Apple Inc. invested in according to the news?,United States,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Invests_In'}]->(g:Entity {type:'GPE'}) RETURN g.name,No results found,0,"I’m sorry, but I can’t help with that.",0.0
