questions,expected,cypher,output,correctness_score,correctness_reasoning,average_score
Which company produces consumer electronics according to the document?,Apple Inc.,MATCH (c:Entity {type:'ORG'})-[:RELATIONSHIP {type:'Produces'}]->(p:Entity {type:'PRODUCT'}) WHERE p.name CONTAINS 'consumer electronics' RETURN c.name,Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00,1,"The provided answer correctly identifies Apple Inc. as the company that produces consumer electronics, matching the reference answer. The additional details (ticker symbol, description, source URL, and date) do not affect the correctness of the core answer.",1.0
What products is Apple Inc. described as producing?,Consumer electronics,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Produces'}]->(p:Entity) RETURN p.name,"Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00
Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics, software, and online services. from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00",1,"The provided answer includes the phrase ""consumer electronics"", which matches the reference answer.",1.0
What is the stock ticker associated with Apple Inc.?,AAPL,MATCH (c:Entity {name:'Apple Inc.'}) RETURN c.ticker,Company: Apple Inc. | Ticker: AAPL | SourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus | Evidence: Apple Inc. (AAPL) is a multinational technology company that specializes in consumer electronics,1,"The provided answer correctly identifies the ticker symbol for Apple Inc. as AAPL, which matches the reference answer. The additional context and source URL do not affect the correctness of the ticker information.",1.0
Which geographic region has Apple Inc. invested in according to the news?,United States,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Invests_In'}]->(g:Entity {type:'GPE'}) RETURN g.name,No results found,0,"The reference answer states that Apple Inc. invested in the United States. The provided answer claims no results were found, which contradicts the reference. Therefore the provided answer is incorrect.",0.0
Which financial metric reached an all-time high for Apple?,Services unit revenue,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Increases'}]->(m:Entity {type:'FIN_METRIC'}) RETURN m.name,its services unit's revenue set an all-time high from sourceURL: https://www.nasdaq.com/articles/2-tech-dividend-stocks-to-buy-and-hold-forever on Date: 2023-12-01 00:00:00+00:00,1,"The question asks for the financial metric that reached an all‑time high for Apple. The reference answer states that the services unit revenue did so. The provided answer also identifies the services unit’s revenue as having reached an all‑time high, matching the reference. Therefore the provided answer is correct.",1.0
Which regulatory body was involved in a legal case related to Apple?,UK Competition Appeal Tribunal,MATCH (r:Entity {type:'ORG_REG'})<-[:RELATIONSHIP {type:'Involved_In'}]-(l:Entity {type:'LITIGATION'}) WHERE l.name CONTAINS 'Apple' RETURN r.name,No results found,0,"Provided answer does not match reference answer; it states ""No results found"", whereas the correct answer is ""UK Competition Appeal Tribunal"".",0.0
What legal action was Apple involved in?,An appeal case,MATCH (c:Entity {name:'Apple'})-[:RELATIONSHIP {type:'Involved_In'}]->(l:Entity {type:'LITIGATION'}) RETURN l.name,The lawfulness of that decision was challenged by Apple by appealing to the CAT from sourceURL: https://www.nasdaq.com/articles/cma-wins-appeal-from-uk-high-court-in-apple-case on Date: 2023-12-01 00:00:00+00:00,1,"The provided answer states that Apple appealed to the CAT, which is an appeal case, matching the reference answer.",1.0
Which company benefits from Safari-related revenue increases?,Apple Inc.,MATCH (c:Entity)-[:RELATIONSHIP {type:'Increases'}]->(m:Entity {type:'FIN_METRIC'}) WHERE m.name CONTAINS 'Safari' RETURN c.name,No results found,0,"The provided answer ""No results found"" does not match the reference answer ""Apple Inc."" and therefore is incorrect.",0.0
Which company is compared competitively with Apple in the smart home market?,Alphabet,MATCH (c:Entity {name:'Alphabet'})-[:RELATIONSHIP {type:'Related_To'}]->(p:Entity {type:'CONCEPT'}) RETURN c.name,"Alphabet to compete well with some notable industry players like Amazon AMZN and Apple AAPL, which are also making concerted efforts to gain a solid footing in the smart home market space. from sourceURL: https://www.nasdaq.com/articles/alphabet-googl-bolsters-nest-hub-series-with-fuchsia-14 on Date: 2023-12-01 00:00:00+00:00",1,"The question asks for the company that is compared competitively with Apple in the smart home market. The reference answer is ""Alphabet"". The provided answer states that Alphabet competes with Apple in that market, which directly matches the reference. Therefore the provided answer is correct.",1.0
Which companies are subject to European Union regulations?,Apple Inc.,MATCH (c:Entity)-[:RELATIONSHIP {type:'Subject_To'}]->(g:Entity {type:'ORG_GOV'}) WHERE g.name='European Union' RETURN c.name,No results found,0,"The reference answer lists Apple Inc. as a company subject to EU regulations, whereas the provided answer states ""No results found"", which does not match the expected answer. Therefore the provided answer is incorrect.",0.0
Which government body regulates major technology gatekeepers?,European Union,MATCH (g:Entity {type:'ORG_GOV'}) WHERE g.name='European Union' RETURN g.name,No results found,0,"The question asks for the government body that regulates major technology gatekeepers. The correct answer is the European Union, but the provided answer states ""No results found,"" which does not match the reference answer. Therefore the provided answer is incorrect.",0.0
Which companies suspended advertising on X according to the document?,Apple Inc.,MATCH (c:Entity)-[:RELATIONSHIP {type:'Involved_In'}]->(e:Entity {type:'EVENT'}) WHERE e.name CONTAINS 'ads' RETURN c.name,No results found,0,"The reference answer states that Apple Inc. suspended advertising on X. The provided answer claims no results were found, which contradicts the reference. Therefore the provided answer is incorrect.",0.0
Which company is described as a cheaper stock alternative to Apple?,Nvidia,MATCH (c:Entity {name:'Nvidia'}) RETURN c.name,No results found,0,"The provided answer ""No results found"" does not match the reference answer ""Nvidia"", which is the correct company described as a cheaper stock alternative to Apple. Therefore the provided answer is incorrect.",0.0
Which market index reached new highs in 2023?,S&P 500,MATCH (i:Entity {type:'FIN_MARKET'}) WHERE i.name='S&P 500' RETURN i.name,"The market is rallying from sourceURL: https://www.nasdaq.com/articles/should-you-really-invest-in-stocks-now-or-wait-until-the-new-year on Date: 2023-12-01 00:00:00+00:00
all three major indexes climbing from sourceURL: https://www.nasdaq.com/articles/should-you-really-invest-in-stocks-now-or-wait-until-the-new-year on Date: 2023-12-01 00:00:00+00:00
Wall Street's main indexes inched higher on Friday from sourceURL: https://www.nasdaq.com/articles/us-stocks-wall-st-edges-higher-as-powell-comments-bolster-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
U.S. stocks advanced on Friday from sourceURL: https://www.nasdaq.com/articles/us-stocks-wall-st-rallies-as-powell-cements-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the Dow closed at its highest level since January 2022. from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the S&P registered its highest close of the year on Friday from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
All three major U.S. stock indexes were higher from sourceURL: https://www.nasdaq.com/articles/us-stocks-wall-st-rallies-as-powell-cements-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the Dow Jones .DJI rallied to close at its highest level since January 2022. from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-nasdaq-slip-as-caution-prevails-ahead-of-powell-comments on Date: 2023-12-01 00:00:00+00:00
The S&P 500 gained nearly 9% gain in November from sourceURL: https://www.nasdaq.com/articles/wall-st-week-ahead-tax-loss-selling-santa-rally-could-sway-u.s.-stocks-after-november-melt on Date: 2023-12-01 00:00:00+00:00
with the index rising 77% of the time from sourceURL: https://www.nasdaq.com/articles/wall-st-week-ahead-tax-loss-selling-santa-rally-could-sway-u.s.-stocks-after-november-melt on Date: 2023-12-01 00:00:00+00:00
Indexes up: Dow 0.82% from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
S&P 0.59% from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
Nasdaq 0.55% from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the S&P 500 and the Nasdaq registered their biggest one-month percentage gains since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
the S&P 500 and the Nasdaq registered their biggest one-month percentage gains since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-500-hits-2023-closing-high-as-powell-strengthens-peak-rate-bets on Date: 2023-12-01 00:00:00+00:00
both the indexes finished November with their biggest monthly gain since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-nasdaq-slip-as-caution-prevails-ahead-of-powell-comments on Date: 2023-12-01 00:00:00+00:00
both the indexes finished November with their biggest monthly gain since July 2022 from sourceURL: https://www.nasdaq.com/articles/us-stocks-sp-nasdaq-slip-as-caution-prevails-ahead-of-powell-comments on Date: 2023-12-01 00:00:00+00:00",1,"The provided answer includes the S&P 500 and states it reached new highs in 2023, matching the reference answer.",1.0
Which market index includes Apple as a major component?,Nasdaq,MATCH (i:Entity {type:'FIN_MARKET'}) RETURN i.name,Apple Inc. (NASDAQ: AAPL) from sourceURL: https://www.nasdaq.com/articles/best-blue-chip-stocks-to-invest-in-right-now-2-in-focus on Date: 2023-12-01 00:00:00+00:00,1,"The provided answer identifies Apple Inc. as listed on NASDAQ (NASDAQ: AAPL), indicating that Apple is a major component of the Nasdaq market index, which matches the reference answer ""Nasdaq"".",1.0
