question,cypher,result,c.ticker,c.name,i.name,e.name,m.name
Which company produces consumer electronics according to the document?,MATCH (c:Entity {type:'ORG'})-[:RELATIONSHIP {type:'Produces'}]->(p:Entity {type:'PRODUCT'}) WHERE p.name CONTAINS 'consumer electronics' RETURN c.name,,,,,,
What products is Apple Inc. described as producing?,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Produces'}]->(p:Entity) RETURN p.name,,,,,,
What is the stock ticker associated with Apple Inc.?,MATCH (c:Entity {name:'Apple Inc.'}) RETURN c.ticker,,,,,,
Which geographic region has Apple Inc. invested in according to the news?,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Invests_In'}]->(g:Entity {type:'GPE'}) RETURN g.name,,,,,,
Which financial metric reached an all-time high for Apple?,MATCH (c:Entity {name:'Apple Inc.'})-[:RELATIONSHIP {type:'Increases'}]->(m:Entity {type:'FIN_METRIC'}) RETURN m.name,,,,,,
Which regulatory body was involved in a legal case related to Apple?,MATCH (r:Entity {type:'ORG_REG'})<-[:RELATIONSHIP {type:'Involved_In'}]-(l:Entity {type:'LITIGATION'}) WHERE l.name CONTAINS 'Apple' RETURN r.name,,,,,,
What legal action was Apple involved in?,MATCH (c:Entity {name:'Apple'})-[:RELATIONSHIP {type:'Involved_In'}]->(l:Entity {type:'LITIGATION'}) RETURN l.name,,,,,,
Which company benefits from Safari-related revenue increases?,MATCH (c:Entity)-[:RELATIONSHIP {type:'Increases'}]->(m:Entity {type:'FIN_METRIC'}) WHERE m.name CONTAINS 'Safari' RETURN c.name,,,,,,
Which company is compared competitively with Apple in the smart home market?,MATCH (c:Entity {name:'Alphabet'})-[:RELATIONSHIP {type:'Related_To'}]->(p:Entity {type:'CONCEPT'}) RETURN c.name,,,,,,
Which companies are subject to European Union regulations?,MATCH (c:Entity)-[:RELATIONSHIP {type:'Subject_To'}]->(g:Entity {type:'ORG_GOV'}) WHERE g.name='European Union' RETURN c.name,,,,,,
Which government body regulates major technology gatekeepers?,MATCH (g:Entity {type:'ORG_GOV'}) WHERE g.name='European Union' RETURN g.name,,,,,,
Which companies suspended advertising on X according to the document?,MATCH (c:Entity)-[:RELATIONSHIP {type:'Involved_In'}]->(e:Entity {type:'EVENT'}) WHERE e.name CONTAINS 'ads' RETURN c.name,,,,,,
Which company is described as a cheaper stock alternative to Apple?,MATCH (c:Entity {name:'Nvidia'}) RETURN c.name,,,Nvidia,,,
Which market index reached new highs in 2023?,MATCH (i:Entity {type:'FIN_MARKET'}) WHERE i.name='S&P 500' RETURN i.name,,,,S&P 500,,
Which market index includes Apple as a major component?,MATCH (i:Entity {type:'FIN_MARKET'}) RETURN i.name,,,,The market,,
